,Unnamed: 0,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category,inBudgetPrice,CustomerValue
52,7,life,cotton nylon womens ankle sport socks - pack of 3 - multi,Nan,2.99,1.49,0.5,Westernwear-Women,3,3
53,25,life,cotton nylon womens ankle sport socks - pack of 3 - multi,Nan,2.99,1.49,0.5,Westernwear-Women,3,3
54,10,life,cotton nylon womens ankle sport socks - pack of 3 - multi,Nan,2.99,1.49,0.5,Westernwear-Women,3,3
55,11,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,2.99,1.49,0.5,Westernwear-Women,3,3
56,1,ayesha,set of four contemporary silver-toned stud earrings,Nan,2.99,1.49,0.5,Jewellery-Women,3,3
57,8,ayesha,ethnic gold-toned oxidized pearl drop hook earrings,Nan,2.99,1.49,0.5,Jewellery-Women,3,3
58,19,ayesha,set of four contemporary gold-toned stud earrings,Nan,2.99,1.49,0.5,Jewellery-Women,3,3
59,21,ayesha,ethnic gold-toned oxidized peacock drop earrings,Nan,2.99,1.49,0.5,Jewellery-Women,3,3
60,8,sera,cotton regular fit womens designer mask - white,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
61,25,sera,cotton regular fit outdoor womens mask - brown,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
62,16,sera,cotton regular fit womens designer mask - navy,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
63,14,sera,cotton regular fit womens designer mask - yellow,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
64,18,sera,cotton regular fit womens designer mask - red,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
65,25,sera,cotton regular fit womens designer mask - green,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
66,19,sera,cotton regular fit womens designer mask - yellow,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
67,11,sera,cotton regular fit outdoor womens mask - navy,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
68,18,sera,cotton regular fit womens designer mask - white,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
69,20,sera,cotton regular fit womens designer mask - black,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
70,8,sera,cotton regular fit outdoor womens mask - navy,Nan,2.99,2.09,0.3,Westernwear-Women,3,3
71,19,enamor,womens round neck striped tank top - shocking pink,Size:Medium,2.99,2.09,0.3,Lingerie&Nightwear-Women,3,3
