,BrandName,Deatils,Sizes,MRPNum,SellPrice,DiscountPercentage,Category
18,sera,cotton regular fit womens designer mask - red,Nan,299,209,0.3,Westernwear-Women
25,sera,cotton regular fit womens designer mask - green,Nan,299,209,0.3,Westernwear-Women
19,sera,cotton regular fit womens designer mask - yellow,Nan,299,209,0.3,Westernwear-Women
11,sera,cotton regular fit outdoor womens mask - navy,Nan,299,209,0.3,Westernwear-Women
18,sera,cotton regular fit womens designer mask - white,Nan,299,209,0.3,Westernwear-Women
20,sera,cotton regular fit womens designer mask - black,Nan,299,209,0.3,Westernwear-Women
8,sera,cotton regular fit outdoor womens mask - navy,Nan,299,209,0.3,Westernwear-Women
19,enamor,womens round neck striped tank top - shocking pink,Size:Medium,299,209,0.3,Lingerie&Nightwear-Women
14,enamor,womens scoop neck solid top - red mix,"Size:Medium,Small,X-Large",299,209,0.3,Lingerie&Nightwear-Women
15,enamor,womens striped bikini briefs - pale peach,"Size:XL,XX-Large",299,209,0.3,Lingerie&Nightwear-Women
1,enamor,womens striped bikini briefs - denim black enzyme,"Size:XL,XX-Large",299,209,0.3,Lingerie&Nightwear-Women
18,life,womens kite diamond stud drop 2089 - brown,Nan,299,209,0.3,Jewellery-Women
2,tribal zone,womens set of 3 multi colored rings,Nan,299,209,0.3,Jewellery-Women
5,tribal zone,womens golden hollow u shape hoop,Nan,299,209,0.3,Jewellery-Women
15,tribal zone,pink enameled triangle stud with round cutwork earring - pink,Nan,299,209,0.3,Jewellery-Women
21,tribal zone,womens filigri cutwork flower shaped antique gold ring,Nan,299,209,0.3,Jewellery-Women
19,life,womens elephants on loop 2084 - brown,Nan,299,209,0.3,Jewellery-Women
18,tribal zone,womens filigri cutwork flower shaped oxidised silver ring,Nan,299,209,0.3,Jewellery-Women
9,tribal zone,womens dream catcher earrings 2019 - red,Nan,299,209,0.3,Jewellery-Women
14,tribal zone,womens set of 4 rings,Nan,299,209,0.3,Jewellery-Women
8,pretty women,womens alloy crystal hoops - yellow,Nan,299,254,0.1,Jewellery-Women
8,enamor,womens non padded non wired full coverage every day bra - white,"Size:32-B,32-C,32-D,34-D,38-B,38-C",300,150,0.5,Lingerie&Nightwear-Women
2,enamor,womens non padded non wired full coverage every day bra - crimson,"Size:32-B,32-C,32-D,34-D,38-B,38-C",300,150,0.5,Lingerie&Nightwear-Women
4,enamor,womens non padded non wired full coverage every day bra - charcoal,"Size:32-B,32-C,32-D,34-D,38-B,38-C",300,150,0.5,Lingerie&Nightwear-Women
1,clovia,womens non-padded non-wired bra - yellow,"Size:32-B,32-C,32-D,34-B,34-C,34-D,36-B,36-C,36-D,38-B,38-C,40-B",342,137,0.6,Lingerie&Nightwear-Women
10,clovia,womens non-padded non-wired bra - grey,"Size:32-C,32-D,34-C",342,137,0.6,Lingerie&Nightwear-Women
24,clovia,womens cotton non-padded non-wired printed bra - multi,"Size:32-B,32-C",342,137,0.6,Lingerie&Nightwear-Women
19,clovia,womens non-padded non-wired printed t-shirt bra - red,Size:32-C,342,137,0.6,Lingerie&Nightwear-Women
1,clovia,womens cotton rich non-padded non-wired t-shirt bra with lace - purple,"Size:32-B,32-C,34-B,34-C,36-B,36-C,38-B,38-C,40-B,40-C",342,205,0.4,Lingerie&Nightwear-Women
6,clovia,tshirt bra with add-on support - off white,"Size:32-C,34-C",342,205,0.4,Lingerie&Nightwear-Women
15,clovia,womens cotton rich non-padded non-wired bra with lace - natural,"Size:32-B,32-C",342,205,0.4,Lingerie&Nightwear-Women
25,clovia,womens non-padded bra - green,"Size:34-C,36-B,36-C",342,205,0.4,Lingerie&Nightwear-Women
17,clovia,womens non-padded non-wired bra - yellow,"Size:32-B,32-C",342,205,0.4,Lingerie&Nightwear-Women
21,clovia,womens cotton rich non-padded non-wired t-shirt bra - pink,"Size:34-C,36-D",342,205,0.4,Lingerie&Nightwear-Women
6,life,womens 2 layer reusable protective fashion mask- pack of 3 - multi,Nan,349,174,0.5,Westernwear-Women
